species	RA	PRED	replicate	block	no_residents	no_dispersers	relevant_taxon	lab
lissotriton_helveticus	low	no	newt_3	newt_2	4	2	vertebrate	moulis_toulouse
lissotriton_helveticus	standard	no	newt_3	newt_2	4	4	vertebrate	moulis_toulouse
lissotriton_helveticus	standard	no	newt_4	newt_2	6	2	vertebrate	moulis_toulouse
lissotriton_helveticus	low	no	newt_4	newt_2	5	1	vertebrate	moulis_toulouse
lissotriton_helveticus	standard	yes	newt_4	newt_2	6	2	vertebrate	moulis_toulouse
lissotriton_helveticus	low	yes	newt_4	newt_2	2	6	vertebrate	moulis_toulouse
lissotriton_helveticus	standard	no	newt_5	newt_3	5	0	vertebrate	moulis_toulouse
lissotriton_helveticus	low	no	newt_5	newt_3	9	2	vertebrate	moulis_toulouse
lissotriton_helveticus	standard	yes	newt_5	newt_3	6	2	vertebrate	moulis_toulouse
lissotriton_helveticus	low	yes	newt_5	newt_3	2	3	vertebrate	moulis_toulouse
lissotriton_helveticus	low	yes	newt_6	newt_3	10	0	vertebrate	moulis_toulouse
lissotriton_helveticus	standard	yes	newt_6	newt_3	7	4	vertebrate	moulis_toulouse
lissotriton_helveticus	low	no	newt_6	newt_3	4	1	vertebrate	moulis_toulouse
lissotriton_helveticus	standard	no	newt_6	newt_3	10	1	vertebrate	moulis_toulouse
pieris_brassicae	low	yes	Butt_1	Butt_1	4	2	arthropod	moulis_toulouse
pieris_brassicae	standard	no	Butt_1	Butt_1	3	3	arthropod	moulis_toulouse
pieris_brassicae	low	no	Butt_1	Butt_1	3	5	arthropod	moulis_toulouse
pieris_brassicae	standard	yes	Butt_1	Butt_1	4	2	arthropod	moulis_toulouse
pieris_brassicae	low	yes	Butt_2	Butt_1	5	3	arthropod	moulis_toulouse
pieris_brassicae	standard	no	Butt_2	Butt_1	3	2	arthropod	moulis_toulouse
pieris_brassicae	standard	yes	Butt_2	Butt_1	4	0	arthropod	moulis_toulouse
pieris_brassicae	low	no	Butt_2	Butt_1	3	2	arthropod	moulis_toulouse
pirata_latitans	standard	no	spid_1	spid_A	8	0	arthropod	moulis_toulouse
pirata_latitans	low	no	spid_1	spid_A	2	0	arthropod	moulis_toulouse
pirata_latitans	low	yes	spid_1	spid_A	11	0	arthropod	moulis_toulouse
pirata_latitans	standard	yes	spid_1	spid_A	6	4	arthropod	moulis_toulouse
pirata_latitans	low	yes	spid_2	spid_B	2	1	arthropod	moulis_toulouse
pirata_latitans	standard	yes	spid_2	spid_B	2	1	arthropod	moulis_toulouse
pirata_latitans	standard	no	spid_2	spid_B	1	0	arthropod	moulis_toulouse
pirata_latitans	low	no	spid_2	spid_B	9	0	arthropod	moulis_toulouse
pirata_latitans	standard	yes	spid_3	spid_A	6	1	arthropod	moulis_toulouse
pirata_latitans	low	yes	spid_3	spid_A	9	0	arthropod	moulis_toulouse
pirata_latitans	low	no	spid_3	spid_A	4	0	arthropod	moulis_toulouse
pirata_latitans	standard	no	spid_3	spid_A	7	0	arthropod	moulis_toulouse
